88,73,7.01,0,0,377,49.04,2,505,65.4,455,68.23,490,48.27,675,97.72,4374.09
87,71,7.46,20,15,315,30.15,3,505,65.4,425,58.53,520,58.6,685,98.21,4794.14
84,74.4,6.4,38,29,438,67.87,2,395,24.41,425,58.53,415,24.33,615,91.92,4734.2
95,77,7.1,0,0,438,67.87,3,460,48.03,415,55.14,340,8.89,665,97.13,4469.9
78.83,80,7.28,13,15,285,22.36,3,445,42.15,365,38.14,575,75.67,360,12.51,4316.99
85,67.5,6.8,39,0,469,76.18,3,445,42.15,495,79.36,635,88.83,370,14.69,4738.7
75,58,64,3,0,408,58.9,2,375,18.6,405,51.7,460,38,630,93.9,4438
80,52,63,0,0,346,39.3,3,300,5.1,355,34.9,340,8.9,510,63.7,4146
99,80,79,10,0,469,76.2,3,420,32.8,365,38.1,460,38,465,46,5131
95,88.2,86,29,15,254,15.7,3,555,81.4,495,79.4,590,79.6,580,85.3,5832.8
74,68.9,68,0,0,531,88.6,3,485,57.8,475,74.1,460,38,535,72.6,4924.1
85.5,66.4,76,0,0,285,22.4,3,455,46.1,365,38.1,370,13.9,395,21.2,4461.1
86.4,50,73,11,15,346,39.3,3,480,55.9,375,41.5,550,68.4,360,12.5,4769.6
87.5,73.2,62,0,0,346,39.3,3,455,46.1,605,96.1,520,58.6,500,59.9,4970.3
86,56,71,0,50,315,30.2,2,370,17.3,365,38.1,620,86.1,430,32.6,4377
80,65,59,47,0,285,22.4,2,335,9.9,335,28.8,415,24.3,420,29.1,4409
55.1,58,64,0,0,315,30.2,2,360,14.9,135,1.1,195,0.5,385,18.4,3343.9
95,65,76,50,0,408,58.9,3,420,32.8,335,28.8,430,28.6,405,24.2,5112
82,64,62,0,0,531,88.6,3,565,83.9,285,16.1,590,79.6,525,69.1,4908
79.8,55.7,66,0,0,346,39.3,2,310,6.2,175,2.6,620,86.1,545,75.8,4169.5
77.8,78.8,71,19,0,377,49,3,455,46.1,425,58.5,415,24.3,525,69.1,4956.4
80,80,61,0,15,192,6.6,2,360,14.9,455,68.2,505,53.5,770,99.8,4766
90,64,65,0,0,438,67.9,3,485,57.8,285,16.1,235,1.2,545,75.8,4499
78,55,50,0,0,223,10.5,3,375,18.6,365,38.1,430,28.6,385,18.4,3965
79.5,68.4,80,0,15,408,58.9,3,435,38.3,385,44.9,475,43.1,500,59.9,4929.1
78,65,55,0,0,346,39.3,0,315,6.9,145,1.4,240,1.3,475,50,3303
80,65.6,61,11,0,315,30.2,3,545,78.6,455,68.2,560,71.4,535,72.6,4908.4
94,80,65,0,0,346,39.3,2,445,42.2,295,18.3,620,86.1,395,21.2,4612
68.5,52,52,25,0,315,30.2,1,435,38.3,245,9.1,325,7,500,59.9,3777.5
83,67,67,3,0,438,67.9,3,455,46.1,475,74.1,355,11.2,465,46,4708
84.3,74,69,5,0,531,88.6,2,510,67.2,405,51.7,535,63.6,580,85.3,5011.7
95.5,68.8,68,0,0,223,10.5,1,360,14.9,215,5.5,620,86.1,440,36.3,4128.7
77.8,60.4,62,10,0,346,39.3,3,445,42.2,375,41.5,400,20.4,475,50,4472.8
78,58,58,0,0,346,39.3,1,400,26,345,31.8,385,16.9,570,82.9,3972
77.6,77,64,27,0,346,39.3,3,215,0.7,445,65.1,415,24.3,500,59.9,4671.4
82,65,70,0,0,315,30.2,2,495,61.7,345,31.8,710,96.9,630,93.9,4808
70,70,60,0,0,438,67.9,1,360,14.9,295,18.3,415,24.3,570,82.9,4058
67,81,60,3,0,408,58.9,2,340,10.8,435,61.9,270,2.5,420,29.1,4132
60,57,61,0,15,315,30.2,2,455,46.1,285,16.1,310,5.4,560,80.2,4022
95,68.6,78,20,0,346,39.3,1,370,17.3,425,58.5,590,79.6,455,42.1,4720.4
89,75,69,0,0,285,22.4,2,290,4.2,355,34.9,310,5.4,360,12.5,4057
74.4,61.61,65,0,0,377,49,3,360,14.9,395,48.3,270,2.5,440,36.3,4191.09
85,74.2,68,0,15,346,39.3,3,505,65.4,385,44.9,560,71.4,535,72.6,5050.8
78,64,64,19,0,438,67.9,0,340,10.8,145,1.4,400,20.4,510,63.7,3858
88,64,66,0,0,346,39.3,2,375,18.6,305,20.6,385,16.9,595,88.5,4328
95,79,75,0,0,438,67.9,3,530,74,415,55.1,550,68.4,525,69.1,5239
60,56,59,0,0,377,49,0,485,57.8,155,1.7,460,38,465,46,3517
88,67,65,8,0,254,15.7,2,340,10.8,325,25.9,445,33.2,510,63.7,4286
84,66.6,74,0,0,408,58.9,1,315,6.9,345,31.8,285,3.4,280,2.6,3834.4
85,71,68,0,0,408,58.9,3,455,46.1,415,55.1,430,28.6,475,50,4739
90,65,55,0,0,254,15.7,3,400,26,385,44.9,355,11.2,510,63.7,4334
80,56,70,0,15,285,22.4,3,425,34.6,425,58.5,415,24.3,420,29.1,4499
95,70,73,0,0,377,49,4,520,70.7,415,55.1,535,63.6,570,82.9,5279
90,60,60,0,0,315,30.2,2,300,5.1,305,20.6,475,43.1,475,50,4120
